Time(s);RTF
87.50;1.00
87.60;1.00
87.70;1.00
87.80;1.00
87.90;0.98
88.00;1.00
88.10;0.99
88.20;1.03
88.30;0.97
88.40;1.01
88.50;0.97
88.60;1.06
88.70;0.99
88.80;1.00
88.90;0.96
89.00;0.96
89.10;1.06
89.20;1.02
89.30;0.90
89.40;0.99
89.50;1.13
89.60;0.98
89.70;1.02
89.80;1.01
89.90;1.00
90.00;0.99
90.10;1.01
90.20;1.00
90.30;0.98
90.40;1.01
90.50;1.00
90.60;0.99
90.70;0.99
90.80;1.02
90.90;0.99
91.00;0.98
91.10;1.02
91.20;1.00
91.30;1.01
91.40;1.00
91.50;1.01
91.60;1.00
91.70;0.99
91.80;1.01
91.90;0.99
92.00;0.99
92.10;1.03
92.20;0.98
92.30;1.01
92.40;1.01
92.50;1.00
92.60;0.99
92.70;1.00
92.80;1.00
92.90;0.99
93.00;0.99
93.10;1.01
93.20;1.02
93.30;1.00
93.40;1.00
93.50;0.99
93.60;1.02
93.70;0.98
93.80;1.02
93.90;0.98
94.00;1.01
94.10;1.01
94.20;0.99
94.30;1.01
94.40;0.99
94.50;1.01
94.60;1.00
94.70;1.01
94.80;1.00
94.90;1.00
95.00;0.99
95.10;1.01
95.20;1.00
95.30;1.01
95.40;0.99
95.50;1.01
95.60;0.96
95.70;1.02
95.80;1.00
95.90;1.01
96.00;0.98
96.10;1.01
96.20;1.00
96.30;0.99
96.40;1.00
96.50;1.00
96.60;1.01
96.70;1.00
96.80;0.99
96.90;0.99
97.00;1.00
97.10;0.99
97.20;1.03
97.30;0.98
97.40;1.02
97.50;1.00
97.60;1.00
97.70;0.98
97.80;1.02
97.90;1.01
98.00;1.00
98.10;1.00
98.20;1.00
98.30;0.99
98.40;1.01
98.50;0.98
98.60;1.02
98.70;1.02
98.80;1.00
98.90;0.99
99.00;0.99
99.10;1.00
99.20;1.00
99.30;1.01
99.40;1.00
99.50;1.00
99.60;0.99
99.70;1.01
99.80;1.00
99.90;0.99
100.00;0.98
100.10;1.04
100.20;1.00
100.30;0.99
100.40;1.00
100.50;1.01
100.60;1.00
100.70;1.00
100.80;0.99
100.90;0.99
101.00;1.02
101.10;0.98
101.20;1.01
101.30;1.01
101.40;1.00
101.50;1.00
101.60;1.00
101.70;1.00
101.80;1.00
101.90;1.00
102.00;1.00
102.10;1.00
102.20;1.00
102.30;1.00
102.40;0.98
102.50;0.99
102.60;1.01
102.70;0.98
102.80;1.02
102.90;0.99
103.00;1.00
103.10;1.00
103.20;0.99
103.30;1.00
103.40;1.02
103.50;0.99
103.60;0.99
103.70;1.01
103.80;1.00
103.90;0.98
104.00;1.00
104.10;1.02
104.20;1.00
104.30;0.99
104.40;1.01
104.50;0.98
104.60;1.01
104.70;0.96
104.80;1.04
104.90;1.02
105.00;0.99
105.10;0.99
105.20;1.02
105.30;1.01
105.40;1.00
105.50;1.00
105.60;0.99
105.70;1.00
105.80;1.00
105.90;1.00
106.00;0.99
106.10;1.01
106.20;1.00
106.30;1.00
106.40;1.00
106.50;0.98
106.60;1.02
106.70;0.99
106.80;1.01
106.90;0.99
107.00;1.00
107.10;1.01
107.20;0.99
107.30;1.00
107.40;1.00
107.50;1.01
107.60;1.00
107.70;1.00
107.80;1.00
107.90;0.99
108.00;0.99
108.10;1.03
108.20;1.00
108.30;0.99
108.40;1.01
108.50;1.00
108.60;1.00
108.70;0.99
108.80;0.99
108.90;1.00
109.00;1.00
109.10;1.00
109.20;1.00
109.30;1.00
109.40;1.00
109.50;1.00
109.60;1.01
109.70;0.99
109.80;0.98
109.90;1.02
110.00;0.98
110.10;1.03
110.20;1.00
