Time(s);RTF
54.30;0.66
54.40;0.69
54.50;0.64
54.60;0.73
54.70;0.69
54.80;0.81
54.90;0.70
55.00;0.70
55.10;0.67
55.20;0.62
55.30;0.64
55.40;0.59
55.50;0.60
55.60;0.63
55.70;0.63
55.80;0.66
55.90;0.59
56.00;0.55
56.10;0.50
56.20;0.46
56.30;0.54
56.40;0.48
56.50;0.50
56.60;0.62
56.70;0.71
56.80;0.78
56.90;1.03
57.00;0.71
57.10;0.66
57.20;0.65
57.30;0.58
57.40;0.65
57.50;0.71
57.60;0.83
57.70;0.71
57.80;0.65
57.90;0.70
58.00;0.59
58.10;0.64
58.20;0.55
58.30;0.65
58.40;0.79
58.50;0.59
58.60;0.57
58.70;0.60
58.80;0.54
58.90;0.62
59.00;0.72
59.10;1.01
59.20;0.71
59.30;0.65
59.40;0.71
59.50;0.73
59.60;0.70
59.70;0.86
59.80;0.88
59.90;0.74
60.00;0.61
60.10;0.66
60.20;0.69
60.30;0.69
60.40;0.73
60.50;0.76
60.60;0.82
60.70;0.68
60.80;0.67
60.90;0.68
61.00;0.56
61.10;0.63
61.20;0.70
61.30;0.75
61.40;0.77
61.50;0.94
61.60;0.67
61.70;0.69
61.80;0.64
61.90;0.61
62.00;0.61
62.10;0.59
62.20;0.84
62.30;0.79
62.40;0.66
62.50;0.69
62.60;0.76
62.70;0.67
62.80;0.66
62.90;0.58
63.00;0.88
63.10;0.75
63.20;0.75
63.30;0.73
63.40;0.68
63.50;0.59
63.60;0.60
63.70;0.66
63.80;0.75
63.90;0.79
64.00;0.68
64.10;0.63
64.20;0.57
64.30;0.66
64.40;0.68
64.50;0.71
64.60;0.98
64.70;0.69
64.80;0.62
64.90;0.55
65.00;0.52
65.10;0.55
65.20;0.85
65.30;0.79
65.40;0.64
65.50;0.63
65.60;0.72
65.70;0.75
65.80;0.70
65.90;0.75
66.00;0.94
66.10;0.68
66.20;0.62
66.30;0.78
66.40;0.72
66.50;0.75
66.60;0.66
66.70;0.87
66.80;0.75
66.90;0.64
67.00;0.62
67.10;0.57
67.20;0.67
67.30;0.66
67.40;0.72
67.50;0.77
67.60;0.84
67.70;0.50
67.80;0.60
67.90;0.69
68.00;0.77
68.10;0.86
68.20;0.98
68.30;0.94
68.40;0.84
68.50;0.88
68.60;0.95
68.70;0.91
68.80;0.80
68.90;0.74
69.00;0.78
69.10;0.92
69.20;0.83
69.30;0.95
69.40;1.01
69.50;0.88
69.60;0.80
69.70;0.86
69.80;0.83
69.90;0.77
70.00;0.76
70.10;0.92
70.20;1.05
70.30;0.90
70.40;0.81
70.50;0.88
70.60;0.88
70.70;0.87
70.80;0.91
70.90;0.89
71.00;0.89
71.10;0.85
71.20;1.00
71.30;0.98
71.40;1.11
71.50;1.03
71.60;0.89
71.70;0.98
71.80;1.11
71.90;0.90
72.00;0.64
72.10;0.48
72.20;0.77
72.30;0.93
72.40;1.14
72.50;1.14
72.60;1.07
72.70;1.00
72.80;1.03
72.90;0.87
73.00;0.82
73.10;0.85
73.20;0.99
73.30;0.99
73.40;1.00
73.50;0.96
73.60;0.89
73.70;0.85
73.80;0.81
73.90;0.78
74.00;1.02
74.10;0.89
74.20;0.99
74.30;0.99
74.40;1.26
74.50;1.05
74.60;1.09
74.70;1.30
74.80;1.35
74.90;1.05
75.00;0.82
75.10;1.11
75.20;1.21
75.30;1.22
75.40;1.37
75.50;1.22
75.60;1.32
75.70;1.42
75.80;1.22
75.90;1.39
76.00;1.44
76.10;1.26
76.20;1.35
76.30;1.35
76.40;1.01
76.50;0.68
76.60;0.64
76.70;0.60
76.80;0.63
76.90;0.68
77.00;0.80
77.10;0.81
77.20;0.98
77.30;0.55
77.40;0.72
77.50;1.04
77.60;0.96
77.70;1.01
77.80;1.00
77.90;0.98
78.00;0.91
78.10;1.07
78.20;0.91
78.30;0.91
78.40;1.05
78.50;1.18
78.60;0.94
78.70;1.04
78.80;1.05
78.90;1.07
79.00;0.77
79.10;0.92
79.20;1.02
79.30;1.14
79.40;0.99
79.50;1.13
79.60;1.32
79.70;1.17
79.80;1.01
79.90;0.92
80.00;0.86
80.10;0.77
80.20;0.98
80.30;1.20
80.40;0.82
80.50;0.80
80.60;0.88
80.70;0.80
80.80;0.76
80.90;0.81
81.00;0.69
81.10;0.74
81.20;0.86
81.30;0.81
81.40;0.84
81.50;0.80
81.60;0.83
81.70;0.60
81.80;0.29
81.90;0.65
82.00;0.35
82.10;0.64
82.20;0.61
82.30;0.65
82.40;0.55
82.50;0.62
82.60;0.74
82.70;0.76
82.80;0.71
82.90;0.59
83.00;0.48
83.10;0.55
83.20;0.58
83.30;0.62
83.40;0.57
83.50;0.56
83.60;0.59
83.70;0.63
83.80;0.66
83.90;0.45
84.00;0.72
84.10;0.80
84.20;0.78
84.30;0.79
84.40;0.89
84.50;0.88
84.60;1.16
84.70;0.99
84.80;0.77
84.90;0.82
85.00;0.81
85.10;0.75
85.20;0.87
85.30;0.76
85.40;0.85
85.50;0.86
85.60;0.92
85.70;0.89
85.80;0.78
85.90;0.80
86.00;0.76
86.10;0.88
86.20;0.76
86.30;1.05
86.40;1.09
86.50;1.07
86.60;0.89
86.70;0.85
86.80;0.76
86.90;0.69
87.00;0.81
87.10;1.17
87.20;1.02
87.30;0.69
87.40;0.73
87.50;1.02
87.60;1.00
87.70;0.73
87.80;0.51
87.90;0.43
88.00;0.73
88.10;0.78
88.20;0.82
88.30;0.81
88.40;0.71
88.50;0.77
88.60;0.74
88.70;0.80
88.80;0.72
88.90;0.67
89.00;0.76
89.10;0.74
89.20;0.84
89.30;0.77
89.40;0.92
89.50;0.67
89.60;0.78
89.70;0.85
89.80;1.02
89.90;0.71
90.00;0.72
90.10;0.74
90.20;0.84
90.30;0.80
90.40;0.74
90.50;0.92
90.60;0.74
90.70;0.81
90.80;0.78
90.90;0.90
91.00;0.96
91.10;0.86
91.20;0.88
91.30;0.61
91.40;0.48
91.50;0.74
91.60;0.90
91.70;0.82
91.80;0.85
91.90;0.78
92.00;0.89
92.10;0.81
92.20;0.81
92.30;0.82
92.40;0.77
92.50;0.81
92.60;0.73
92.70;0.79
92.80;0.79
92.90;0.71
93.00;0.66
93.10;0.75
93.20;0.74
93.30;0.84
93.40;0.99
93.50;0.78
93.60;0.88
93.70;0.76
93.80;0.74
93.90;0.78
94.00;0.77
94.10;0.80
94.20;0.62
94.30;0.45
94.40;0.69
94.50;0.70
94.60;0.76
94.70;0.78
94.80;0.70
94.90;0.66
95.00;0.70
95.10;0.81
95.20;0.73
95.30;0.72
95.40;0.74
95.50;0.76
95.60;0.72
95.70;0.84
95.80;0.92
95.90;0.71
96.00;0.68
96.10;0.69
96.20;0.78
96.30;0.68
96.40;0.67
96.50;0.81
96.60;0.79
96.70;0.66
96.80;0.74
96.90;0.76
97.00;0.80
97.10;0.86
97.20;0.78
97.30;0.74
97.40;0.81
97.50;0.92
97.60;0.79
97.70;0.88
97.80;0.82
97.90;0.74
98.00;0.60
98.10;0.64
98.20;0.75
98.30;0.66
98.40;0.59
98.50;0.69
98.60;0.76
98.70;1.08
98.80;0.76
98.90;0.67
99.00;0.79
99.10;0.77
99.20;0.92
99.30;0.87
99.40;0.96
99.50;0.95
99.60;0.79
99.70;0.99
99.80;0.71
99.90;0.89
100.00;1.01
100.10;0.95
100.20;0.75
100.30;0.51
100.40;0.42
100.50;0.60
100.60;0.78
100.70;0.83
100.80;0.79
100.90;0.80
101.00;0.74
101.10;0.31
101.20;0.65
101.30;0.71
101.40;0.78
101.50;0.61
101.60;0.55
101.70;0.66
101.80;0.62
101.90;0.73
102.00;0.68
102.10;0.64
102.20;0.69
102.30;0.71
102.40;0.53
102.50;0.58
102.60;0.77
102.70;0.64
102.80;0.35
102.90;0.60
103.00;0.55
103.10;0.62
103.20;0.79
103.30;0.51
103.40;0.53
103.50;0.34
103.60;0.69
103.70;0.70
103.80;0.66
103.90;0.61
104.00;0.69
104.10;0.61
104.20;0.69
104.30;0.58
104.40;0.41
104.50;0.41
104.60;0.62
104.70;0.61
104.80;0.59
104.90;0.58
105.00;0.68
105.10;0.56
105.20;0.50
105.30;0.24
105.40;0.42
105.50;0.73
105.60;0.72
105.70;0.66
105.80;0.57
105.90;0.58
106.00;0.63
106.10;0.65
106.20;0.62
106.30;0.51
106.40;0.45
106.50;0.25
106.60;0.75
106.70;0.61
106.80;0.41
106.90;0.50
107.00;0.49
107.10;0.72
107.20;0.68
107.30;0.53
107.40;0.31
107.50;0.57
107.60;0.65
107.70;0.70
107.80;0.58
107.90;0.61
108.00;0.43
108.10;0.32
108.20;0.63
108.30;0.72
108.40;0.66
108.50;0.73
108.60;0.73
108.70;0.62
108.80;0.64
108.90;0.71
109.00;0.71
109.10;0.64
109.20;0.52
109.30;0.51
109.40;0.57
109.50;0.71
109.60;0.69
109.70;0.61
109.80;0.70
109.90;0.62
110.00;0.46
110.10;0.61
110.20;0.77
110.30;0.80
110.40;0.85
110.50;0.62
110.60;0.44
110.70;0.45
110.80;0.60
110.90;0.71
111.00;0.65
111.10;0.64
111.20;0.62
111.30;0.57
111.40;0.55
111.50;0.62
111.60;0.70
111.70;0.72
111.80;0.67
111.90;0.64
112.00;0.53
112.10;0.57
112.20;0.71
112.30;0.72
112.40;0.75
112.50;0.79
112.60;0.69
112.70;0.61
112.80;0.36
112.90;0.75
113.00;0.83
113.10;0.68
113.20;0.60
113.30;0.54
113.40;0.40
113.50;0.67
113.60;0.75
113.70;0.75
113.80;0.57
113.90;0.33
114.00;0.57
114.10;0.69
114.20;0.67
114.30;0.42
114.40;0.59
114.50;0.65
114.60;0.63
114.70;0.71
114.80;0.83
114.90;0.73
115.00;0.53
115.10;0.36
115.20;0.72
115.30;0.64
115.40;0.78
115.50;0.77
115.60;0.39
115.70;0.62
115.80;0.72
115.90;0.35
116.00;0.40
116.10;0.70
116.20;0.53
116.30;0.66
116.40;0.39
116.50;0.38
116.60;0.91
116.70;0.77
116.80;0.80
116.90;0.72
117.00;0.50
117.10;0.45
117.20;0.64
117.30;0.76
117.40;0.75
117.50;0.57
117.60;0.52
117.70;0.27
117.80;0.37
117.90;0.60
118.00;0.48
118.10;0.52
118.20;0.58
118.30;0.60
118.40;0.60
118.50;0.55
118.60;0.47
118.70;0.55
118.80;0.67
118.90;0.67
119.00;0.61
119.10;0.56
119.20;0.49
119.30;0.45
119.40;0.58
119.50;0.64
119.60;0.63
119.70;0.63
119.80;0.48
119.90;0.82
